filename,predicted_class,label,class_0_prob,class_1_prob,class_2_prob,var_x,var_y,var_z,linearity,planarity,anisotropy,ex,ey,ez,bbox_maxmin,bbox_midmin,axis_bending,num_boundaries,genus,is_hollow
chair_001_15.obj,0,0,0.9993,0.0007,0.0,0.9814,0.0172,0.0014,0.0186,0.0014,726.9713,480.0333,67.046,36.7367,13.0669,1.825,0.4963,0.0,0.0,0.0
chair_001_16.obj,0,0,0.9998,0.0002,0.0,0.9908,0.0075,0.0017,0.0092,0.0017,570.0401,20.4902,69.204,441.6993,21.5567,3.3774,0.0002,0.0,0.0,0.0
chair_001_17.obj,0,0,0.9998,0.0002,0.0,0.9908,0.0075,0.0017,0.0092,0.0017,570.04,20.4902,69.204,441.6993,21.5566,3.3774,0.0002,0.0,0.0,0.0
chair_001_18.obj,0,0,0.9996,0.0004,0.0,0.9934,0.0055,0.0011,0.0066,0.0011,896.9227,520.0024,40.07,19.8592,26.1844,2.0177,0.4996,0.0,0.0,0.0
chair_001_19.obj,0,0,0.9991,0.0009,0.0,0.9816,0.0169,0.0014,0.0184,0.0014,678.2147,480.0735,24.007,66.4504,19.9972,2.768,0.496,0.0,0.0,0.0
chair_001_20.obj,0,0,0.9991,0.0009,0.0,0.9816,0.0169,0.0014,0.0184,0.0014,678.2142,480.0735,24.007,66.4408,19.9972,2.7676,0.496,0.0,0.0,0.0
chair_001_21.obj,0,0,0.9991,0.0009,0.0,0.9816,0.0169,0.0014,0.0184,0.0014,678.2118,480.0737,24.008,66.4408,19.9964,2.7674,0.496,0.0,0.0,0.0
chair_001_22.obj,0,0,0.9991,0.0009,0.0,0.9816,0.0169,0.0014,0.0184,0.0014,678.2156,480.0671,24.008,66.4378,19.9961,2.7673,0.496,0.0,0.0,0.0
chair_001_23.obj,0,0,0.9991,0.0009,0.0,0.9816,0.0169,0.0014,0.0184,0.0014,678.2159,480.0641,24.007,66.4377,19.9968,2.7674,0.496,0.0,0.0,0.0
chair_001_24.obj,0,0,0.8693,0.1306,0.0001,0.5824,0.4139,0.0036,0.4176,0.0036,160.476,40.6343,670.026,576.8461,16.4892,14.196,0.0952,0.0,0.0,0.0
chair_001_25.obj,0,0,0.8745,0.1254,0.0001,0.5826,0.4138,0.0036,0.4174,0.0036,160.5653,40.6334,670.026,576.8442,16.4895,14.1963,0.1055,0.0,0.0,0.0
chair_001_26.obj,0,0,0.889,0.1109,0.0001,0.8187,0.1804,0.0008,0.1813,0.0008,1016.8906,20.6396,479.965,576.0568,27.9102,23.2546,0.0045,0.0,0.0,0.0
chair_001_27.obj,0,0,0.889,0.1109,0.0001,0.8187,0.1804,0.0008,0.1813,0.0008,1016.8846,20.6384,479.965,576.0441,27.9113,23.256,0.0044,0.0,0.0,0.0
chair_011_01.obj,1,1,0.0135,0.9864,0.0001,0.6799,0.3182,0.0019,0.3201,0.0019,367.1058,748.802,628.927,111.956,6.6884,5.6176,0.0078,0.0,0.0,0.0
chair_011_02.obj,1,1,0.2895,0.7048,0.0057,0.7485,0.243,0.0085,0.2515,0.0085,87.8806,163.0187,274.4297,379.9188,2.3305,1.6834,0.0002,0.0,0.0,0.0
chair_011_03.obj,1,1,0.2908,0.7036,0.0057,0.7486,0.243,0.0084,0.2514,0.0084,89.2395,163.0187,274.4296,379.9178,2.3305,1.6834,0.0001,0.0,0.0,0.0
chair_011_04.obj,1,1,0.0591,0.9395,0.0014,0.5962,0.4011,0.0027,0.4038,0.0027,224.3488,459.1985,43.471,351.1178,10.5633,8.0771,0.0303,0.0,0.0,0.0
chair_011_05.obj,1,1,0.0285,0.9707,0.0007,0.5488,0.44,0.0113,0.4512,0.0113,48.7347,519.8923,83.6433,379.9178,6.2156,4.5421,0.0009,0.0,0.0,0.0
chair_011_06.obj,0,0,0.9997,0.0002,0.0001,0.9549,0.0233,0.0218,0.0451,0.0218,43.7244,43.776,200.6441,43.776,4.5834,1.0,0.0001,0.0,0.0,0.0
chair_011_07.obj,0,0,0.9997,0.0003,0.0,0.9849,0.0091,0.006,0.0151,0.006,164.8816,261.119,36.4384,164.2053,7.166,4.5064,0.4562,0.0,0.0,0.0
chair_011_08.obj,0,0,0.9997,0.0003,0.0,0.9849,0.0091,0.006,0.0151,0.006,164.8782,220.486,36.4384,219.697,6.0509,6.0293,0.1884,0.0,0.0,0.0
chair_011_09.obj,0,0,0.9998,0.0002,0.0,0.9849,0.0091,0.006,0.0151,0.006,164.8807,261.3929,39.8391,163.185,6.5612,4.0961,0.5101,0.0,0.0,0.0
chair_011_10.obj,0,0,0.9997,0.0003,0.0,0.9849,0.0091,0.006,0.0151,0.006,164.8813,219.5707,39.8391,220.225,5.5279,5.5114,0.1842,0.0,0.0,0.0
chair_011_11.obj,1,1,0.0004,0.9982,0.0014,0.6462,0.2599,0.0939,0.3538,0.0939,6.8817,777.6,337.344,379.9188,2.3051,1.1262,0.0034,0.0,0.0,0.0
chair_015_01.obj,1,0,0.2554,0.7403,0.0043,0.8306,0.1522,0.0172,0.1694,0.0172,48.4114,547.6985,132.2678,252.4837,4.1408,1.9089,0.2949,0.0,0.0,0.0
chair_015_02.obj,0,0,0.9994,0.0006,0.0,0.9656,0.0264,0.008,0.0344,0.008,120.5859,52.991,135.4382,374.9654,7.076,2.5559,0.0066,0.0,0.0,0.0
chair_015_03.obj,0,0,0.9995,0.0005,0.0,0.9687,0.0239,0.0074,0.0313,0.0074,131.0856,52.9017,135.4298,374.9445,7.0876,2.56,0.0079,0.0,0.0,0.0
chair_015_04.obj,1,1,0.0481,0.9514,0.0005,0.5056,0.4904,0.004,0.4944,0.004,126.4772,448.8971,72.334,429.2033,6.2059,5.9336,0.0001,0.0,0.0,0.0
chair_015_05.obj,0,0,0.9997,0.0003,0.0,0.9889,0.0067,0.0044,0.0111,0.0044,225.4537,467.2961,77.858,384.773,6.0019,4.942,0.2135,0.0,0.0,0.0
chair_015_06.obj,0,0,0.9997,0.0003,0.0,0.9892,0.0064,0.0044,0.0108,0.0044,223.6844,467.2483,77.858,384.836,6.0013,4.9428,0.1915,0.0,0.0,0.0
chair_015_07.obj,0,0,1.0,0.0,0.0,0.9822,0.0121,0.0057,0.0178,0.0057,172.4076,53.4364,614.6334,128.2859,11.5021,2.4007,0.0179,0.0,0.0,0.0
chair_015_08.obj,0,0,1.0,0.0,0.0,0.9839,0.0122,0.0039,0.0161,0.0039,252.0872,39.2677,653.3489,212.3969,16.6383,5.409,0.0645,0.0,0.0,0.0
chair_015_09.obj,0,0,1.0,0.0,0.0,0.982,0.0123,0.0056,0.018,0.0056,175.0222,53.449,614.6578,128.3385,11.4999,2.4011,0.0199,0.0,0.0,0.0
chair_015_10.obj,0,0,1.0,0.0,0.0,0.9853,0.0111,0.0036,0.0147,0.0036,276.4389,39.2775,653.3725,212.4026,16.6348,5.4077,0.102,0.0,0.0,0.0
chair_018_01.obj,1,1,0.0286,0.9703,0.0011,0.6427,0.3459,0.0114,0.3573,0.0114,56.4076,561.514,98.471,385.0,5.7023,3.9098,0.0,0.0,0.0,0.0
chair_018_02.obj,0,0,1.0,0.0,0.0,0.9886,0.0059,0.0055,0.0114,0.0055,180.9043,73.406,298.4269,56.606,5.272,1.2968,0.4658,0.0,0.0,0.0
chair_018_03.obj,0,0,1.0,0.0,0.0,0.9886,0.0059,0.0055,0.0114,0.0055,180.9036,73.406,298.4269,56.606,5.272,1.2968,0.4665,0.0,0.0,0.0
chair_018_04.obj,0,0,1.0,0.0,0.0,0.9886,0.0059,0.0055,0.0114,0.0055,180.9046,73.406,298.4269,56.606,5.272,1.2968,0.4625,0.0,0.0,0.0
chair_018_05.obj,0,0,1.0,0.0,0.0,0.9886,0.0059,0.0055,0.0114,0.0055,181.136,73.406,298.4269,56.606,5.272,1.2968,0.4577,0.0,0.0,0.0
chair_018_06.obj,0,0,0.9995,0.0005,0.0,0.992,0.0074,0.0005,0.008,0.0005,1958.212,391.774,35.0,12.249,31.9841,2.8574,0.2732,0.0,0.0,0.0
chair_018_07.obj,0,0,0.9995,0.0005,0.0,0.992,0.0074,0.0005,0.008,0.0005,1958.212,391.774,35.0,12.249,31.9841,2.8574,0.2424,0.0,0.0,0.0
chair_018_08.obj,0,0,0.9992,0.0008,0.0,0.9805,0.0183,0.0012,0.0195,0.0012,800.7668,14.02,35.0,249.516,17.7971,2.4964,0.0019,0.0,0.0,0.0
chair_018_09.obj,0,0,0.9992,0.0008,0.0,0.9805,0.0183,0.0012,0.0195,0.0012,800.7668,14.02,35.0,249.516,17.7971,2.4964,0.0019,0.0,0.0,0.0
chair_019_01.obj,1,1,0.3541,0.645,0.0009,0.8698,0.0925,0.0377,0.1302,0.0377,23.102,801.457,335.423,248.212,3.2289,1.3514,0.4961,0.0,0.0,0.0
chair_019_02.obj,1,1,0.3541,0.645,0.0009,0.8698,0.0925,0.0377,0.1302,0.0377,23.1018,801.4501,335.423,248.212,3.2289,1.3514,0.4961,0.0,0.0,0.0
chair_019_03.obj,1,1,0.094,0.906,0.0,0.9455,0.0535,0.001,0.0545,0.001,925.0887,2008.5291,511.967,71.9277,27.9243,7.1178,0.4891,0.0,0.0,0.0
chair_019_04.obj,1,1,0.1181,0.8818,0.0001,0.817,0.1508,0.0322,0.183,0.0322,25.3969,267.802,466.98,859.49,3.2094,1.7438,0.0123,0.0,0.0,0.0
chair_019_05.obj,1,1,0.1861,0.8138,0.0001,0.8368,0.1269,0.0363,0.1632,0.0363,23.0522,267.7999,466.98,859.49,3.2094,1.7438,0.0107,0.0,0.0,0.0
chair_019_06.obj,1,1,0.0021,0.9979,0.0,0.5445,0.4217,0.0338,0.4555,0.0338,16.1319,822.269,242.008,792.44,3.3977,3.2744,0.0003,0.0,0.0,0.0
chair_019_07.obj,1,1,0.002,0.998,0.0,0.5504,0.4142,0.0354,0.4496,0.0354,15.5375,822.27,242.008,792.44,3.3977,3.2744,0.0003,0.0,0.0,0.0
chair_019_08.obj,1,1,0.0815,0.9185,0.0,0.8615,0.1377,0.0008,0.1385,0.0008,1065.0654,2008.5291,70.3633,850.6333,28.5451,12.0892,0.4819,0.0,0.0,0.0
chair_019_09.obj,0,0,0.9376,0.0081,0.0542,0.8842,0.0589,0.0569,0.1158,0.0569,15.5328,39.877,110.5179,39.877,2.7715,1.0,0.0,0.0,0.0,0.0
chair_019_10.obj,0,0,0.9411,0.0075,0.0514,0.8847,0.0579,0.0574,0.1153,0.0574,15.4229,39.877,110.5179,39.877,2.7715,1.0,0.0,0.0,0.0,0.0
chair_019_11.obj,0,0,0.9387,0.008,0.0533,0.8844,0.0587,0.0569,0.1156,0.0569,15.5334,39.88,110.5179,39.877,2.7715,1.0001,0.0,0.0,0.0,0.0
chair_019_12.obj,0,0,0.943,0.0073,0.0497,0.8852,0.0575,0.0573,0.1148,0.0573,15.4499,39.88,110.5179,39.877,2.7715,1.0001,0.0,0.0,0.0,0.0
chair_019_13.obj,0,0,0.9999,0.0001,0.0,0.9968,0.0022,0.0009,0.0032,0.0009,1057.9335,30.144,60.0518,864.117,28.6663,1.9922,0.0002,0.0,0.0,0.0
chair_019_14.obj,0,0,0.9999,0.0001,0.0,0.9968,0.0023,0.0009,0.0032,0.0009,1071.4471,30.14,60.0518,864.117,28.6701,1.9924,0.0002,0.0,0.0,0.0
chair_023_01.obj,1,1,0.0228,0.9766,0.0005,0.5047,0.4767,0.0186,0.4953,0.0186,27.1148,502.6932,454.1688,176.4943,2.8482,2.5733,0.0008,0.0,0.0,0.0
chair_023_02.obj,1,1,0.4,0.5941,0.0059,0.7126,0.2837,0.0037,0.2874,0.0037,191.9299,124.241,311.3654,321.0589,2.5842,2.5061,0.0091,0.0,0.0,0.0
chair_023_03.obj,1,1,0.4018,0.5923,0.0059,0.7146,0.2817,0.0037,0.2854,0.0037,192.2493,124.241,311.3651,321.0584,2.5842,2.5061,0.0081,0.0,0.0,0.0
chair_023_04.obj,1,1,0.0472,0.9521,0.0008,0.5419,0.4529,0.0052,0.4581,0.0052,103.4912,456.6929,55.8929,403.436,8.1709,7.218,0.0013,0.0,0.0,0.0
chair_023_05.obj,2,2,0.0001,0.0012,0.9986,0.476,0.2703,0.2537,0.524,0.2537,1.8763,218.245,230.7044,206.44,1.1175,1.0572,0.5012,0.0,0.0,0.0
chair_023_06.obj,0,0,0.9999,0.0001,0.0,0.9853,0.0102,0.0045,0.0147,0.0045,220.9033,223.5231,244.3381,223.8094,1.0931,1.0013,0.0734,0.0,0.0,0.0
chair_023_07.obj,0,0,0.9999,0.0001,0.0,0.9853,0.0102,0.0045,0.0147,0.0045,221.3498,223.8089,244.38,223.5234,1.0933,1.0013,0.0704,0.0,0.0,0.0
chair_023_08.obj,0,0,0.9999,0.0001,0.0,0.9853,0.0102,0.0045,0.0147,0.0045,221.2565,223.5234,244.3381,223.8085,1.0931,1.0013,0.0722,0.0,0.0,0.0
chair_023_09.obj,0,0,0.9999,0.0001,0.0,0.9853,0.0102,0.0045,0.0147,0.0045,220.7548,223.8091,244.2963,223.523,1.0929,1.0013,0.0701,0.0,0.0,0.0
chair_023_10.obj,1,1,0.0012,0.9984,0.0005,0.5514,0.3676,0.081,0.4486,0.081,6.806,598.999,471.999,537.999,1.2691,1.1398,0.0013,0.0,0.0,0.0
chair_026_01.obj,1,1,0.0622,0.9309,0.0069,0.8023,0.1905,0.0072,0.1977,0.0072,111.0719,474.3205,239.8854,92.2062,5.1441,2.6016,0.0021,0.0,0.0,0.0
chair_026_02.obj,1,1,0.0429,0.956,0.0012,0.6026,0.3858,0.0116,0.3974,0.0116,51.852,469.7172,85.56,432.834,5.4899,5.0588,0.0009,0.0,0.0,0.0
chair_026_03.obj,1,1,0.0502,0.9487,0.0011,0.6242,0.371,0.0048,0.3758,0.0048,130.3503,487.068,64.197,419.9779,7.5871,6.542,0.0003,0.0,0.0,0.0
chair_026_04.obj,0,0,1.0,0.0,0.0,0.9966,0.0018,0.0016,0.0034,0.0016,612.089,121.1097,738.9442,126.0801,6.1014,1.041,0.2496,0.0,0.0,0.0
chair_026_05.obj,0,0,1.0,0.0,0.0,0.9956,0.0023,0.002,0.0044,0.002,485.8905,120.9285,738.9352,126.3162,6.1105,1.0446,0.2349,0.0,0.0,0.0
chair_026_06.obj,0,0,0.9991,0.0009,0.0,0.8592,0.1402,0.0005,0.1408,0.0005,1680.1476,426.6009,744.3252,127.2381,5.8499,3.3528,0.59,0.0,0.0,0.0
chair_026_07.obj,1,0,0.079,0.9197,0.0014,0.5981,0.4015,0.0005,0.4019,0.0005,1328.951,393.717,16.8465,433.9821,25.761,23.3709,0.009,0.0,0.0,0.0
chair_026_08.obj,1,1,0.0037,0.9947,0.0016,0.552,0.377,0.071,0.448,0.071,7.7715,487.068,276.195,484.8075,1.7635,1.7553,0.0039,0.0,0.0,0.0
chair_027_01.obj,1,1,0.0474,0.9503,0.0023,0.5258,0.4633,0.011,0.4742,0.011,47.8466,382.496,205.122,91.805,4.1664,2.2343,0.0057,0.0,0.0,0.0
chair_027_02.obj,0,0,1.0,0.0,0.0,0.9904,0.0081,0.0016,0.0096,0.0016,636.9698,93.79,873.4153,76.84,11.3667,1.2206,0.1603,0.0,0.0,0.0
chair_027_03.obj,0,0,1.0,0.0,0.0,0.9903,0.0081,0.0015,0.0097,0.0015,641.0956,93.79,873.4153,76.84,11.3667,1.2206,0.1653,0.0,0.0,0.0
chair_027_04.obj,1,1,0.0634,0.9356,0.0009,0.5305,0.4674,0.0021,0.4695,0.0021,253.1197,394.984,32.0,404.8448,12.6514,12.3433,0.0018,0.0,0.0,0.0
chair_027_05.obj,0,0,0.9966,0.0032,0.0002,0.9512,0.0432,0.0056,0.0488,0.0056,171.0947,27.525,120.652,156.92,5.701,4.3834,0.0141,0.0,0.0,0.0
chair_027_06.obj,0,0,0.9966,0.0032,0.0002,0.9512,0.0432,0.0056,0.0488,0.0056,171.0947,27.525,120.652,156.92,5.701,4.3834,0.0141,0.0,0.0,0.0
chair_027_07.obj,0,0,1.0,0.0,0.0,0.9893,0.0063,0.0043,0.0107,0.0043,227.6525,39.609,427.999,66.1755,10.8056,1.6707,0.0003,0.0,0.0,0.0
chair_027_08.obj,0,0,1.0,0.0,0.0,0.9893,0.0063,0.0043,0.0107,0.0043,227.6525,39.609,427.999,66.1755,10.8056,1.6707,0.0003,0.0,0.0,0.0
chair_027_09.obj,1,0,0.3557,0.6308,0.0135,0.8093,0.1886,0.0021,0.1907,0.0021,387.6828,291.306,141.774,70.5577,4.1286,2.0093,0.3866,0.0,0.0,0.0
chair_027_10.obj,1,0,0.4439,0.5422,0.0139,0.8093,0.1886,0.0021,0.1907,0.0021,387.6826,31.788,151.755,291.3056,9.164,4.774,0.0,0.0,0.0,0.0
chair_027_11.obj,1,0,0.2525,0.7337,0.0139,0.7829,0.2148,0.0024,0.2171,0.0024,329.3891,268.496,152.439,21.067,12.7449,7.2359,0.3941,0.0,0.0,0.0
chair_027_12.obj,1,0,0.4439,0.5422,0.0139,0.8093,0.1886,0.0021,0.1907,0.0021,387.6826,31.788,151.755,291.3056,9.164,4.774,0.0,0.0,0.0,0.0
chair_028_01.obj,0,0,0.9955,0.0043,0.0002,0.9333,0.0432,0.0235,0.0667,0.0235,39.7133,452.0,88.795,115.239,5.0904,1.2978,0.5218,0.0,0.0,0.0
chair_028_02.obj,0,0,1.0,0.0,0.0,0.9909,0.0077,0.0014,0.0091,0.0014,706.1771,91.443,847.4733,119.057,9.2678,1.302,0.0048,0.0,0.0,0.0
chair_028_03.obj,0,0,1.0,0.0,0.0,0.9909,0.0077,0.0014,0.0091,0.0014,706.1771,91.443,847.4733,119.057,9.2678,1.302,0.0047,0.0,0.0,0.0
chair_028_04.obj,0,0,0.9997,0.0003,0.0,0.9551,0.0412,0.0037,0.0449,0.0037,254.9943,397.127,430.171,254.015,1.6935,1.5634,0.0499,0.0,0.0,0.0
chair_028_05.obj,0,0,0.9998,0.0002,0.0,0.9606,0.0355,0.0038,0.0394,0.0038,249.6263,397.14,429.903,246.348,1.7451,1.6121,0.054,0.0,0.0,0.0
chair_028_06.obj,1,1,0.0581,0.9409,0.001,0.5242,0.4703,0.0055,0.4758,0.0055,95.1475,394.932,42.287,405.2091,9.5824,9.3393,0.0003,0.0,0.0,0.0
chair_028_07.obj,0,0,1.0,0.0,0.0,0.9833,0.0093,0.0074,0.0167,0.0074,132.7659,49.052,427.1034,72.9575,8.7072,1.4874,0.0002,0.0,0.0,0.0
chair_028_08.obj,0,0,1.0,0.0,0.0,0.9833,0.0093,0.0074,0.0167,0.0074,132.7659,49.052,427.1034,72.9575,8.7072,1.4874,0.0002,0.0,0.0,0.0
chair_029_01.obj,1,1,0.0299,0.9693,0.0008,0.5254,0.4577,0.0169,0.4746,0.0169,31.0542,467.019,401.694,166.447,2.8058,2.4133,0.0017,0.0,0.0,0.0
chair_029_02.obj,1,1,0.0473,0.9523,0.0004,0.5109,0.4879,0.0012,0.4891,0.0012,418.2438,466.792,49.476,465.5837,9.4347,9.4103,0.0003,0.0,0.0,0.0
chair_029_03.obj,0,0,0.974,0.0235,0.0025,0.936,0.05,0.014,0.064,0.014,66.9502,33.5897,109.8564,40.0252,3.2705,1.1916,0.0026,0.0,0.0,0.0
chair_029_04.obj,0,0,1.0,0.0,0.0,0.9866,0.0079,0.0055,0.0134,0.0055,179.9681,53.4902,331.0111,73.6155,6.1883,1.3762,0.0011,0.0,0.0,0.0
chair_029_05.obj,0,0,0.9715,0.0267,0.0018,0.9239,0.0612,0.0149,0.0761,0.0149,62.0456,202.8451,106.0694,209.1157,1.9715,1.9124,0.073,0.0,0.0,0.0
chair_029_06.obj,0,0,0.974,0.0235,0.0025,0.936,0.05,0.014,0.064,0.014,66.9502,33.5897,109.8564,40.0252,3.2705,1.1916,0.0026,0.0,0.0,0.0
chair_029_07.obj,0,0,1.0,0.0,0.0,0.9866,0.0079,0.0055,0.0134,0.0055,179.9681,53.4902,331.0111,73.6155,6.1883,1.3762,0.0011,0.0,0.0,0.0
chair_029_08.obj,0,0,0.9717,0.0265,0.0018,0.9239,0.0612,0.0149,0.0761,0.0149,62.0456,202.8451,106.0694,209.1157,1.9715,1.9124,0.0746,0.0,0.0,0.0
chair_029_09.obj,0,0,1.0,0.0,0.0,0.9871,0.009,0.0039,0.0129,0.0039,255.1866,40.351,271.5182,53.984,6.7289,1.3379,0.0003,0.0,0.0,0.0
chair_029_10.obj,0,0,0.9991,0.0008,0.0001,0.9607,0.0265,0.0128,0.0393,0.0128,74.8988,140.1637,96.4527,218.7005,2.2674,1.4532,0.0813,0.0,0.0,0.0
chair_029_11.obj,0,0,1.0,0.0,0.0,0.9896,0.0054,0.005,0.0104,0.005,196.1092,91.5595,339.6275,119.8411,3.7094,1.3089,0.0147,0.0,0.0,0.0
chair_029_12.obj,0,0,1.0,0.0,0.0,0.9871,0.009,0.0039,0.0129,0.0039,255.1866,40.351,271.5182,53.984,6.7289,1.3379,0.0003,0.0,0.0,0.0
chair_029_13.obj,0,0,0.9991,0.0008,0.0001,0.9607,0.0265,0.0128,0.0393,0.0128,74.8988,140.1637,96.4527,218.7005,2.2674,1.4532,0.0774,0.0,0.0,0.0
chair_029_14.obj,0,0,1.0,0.0,0.0,0.9896,0.0054,0.005,0.0104,0.005,196.1092,91.5595,339.6275,119.8411,3.7094,1.3089,0.0151,0.0,0.0,0.0
chair_032_01.obj,0,0,0.863,0.1349,0.0021,0.8774,0.0966,0.026,0.1226,0.026,33.7759,490.0,168.919,200.244,2.9008,1.1854,0.5065,0.0,0.0,0.0
chair_032_02.obj,0,0,1.0,0.0,0.0,0.9961,0.0027,0.0012,0.0039,0.0012,848.6835,27.0,707.2272,231.717,26.1936,8.5821,0.1386,0.0,0.0,0.0
chair_032_03.obj,0,0,1.0,0.0,0.0,0.9961,0.0027,0.0012,0.0039,0.0012,848.6835,27.0,707.2272,231.717,26.1936,8.5821,0.3428,0.0,0.0,0.0
chair_032_04.obj,1,1,0.068,0.931,0.0011,0.5866,0.4132,0.0003,0.4134,0.0003,2249.3699,436.0,32.383,419.9412,13.4639,12.968,0.0235,0.0,0.0,0.0
chair_032_05.obj,0,0,1.0,0.0,0.0,0.9834,0.0114,0.0052,0.0166,0.0052,187.3657,56.952,453.343,72.5537,7.9601,1.2739,0.5329,0.0,0.0,0.0
chair_032_06.obj,0,0,1.0,0.0,0.0,0.9834,0.0114,0.0052,0.0166,0.0052,187.3657,56.952,453.343,72.5537,7.9601,1.2739,0.5329,0.0,0.0,0.0
chair_032_07.obj,0,0,0.9286,0.0349,0.0364,0.8551,0.0776,0.0673,0.1449,0.0673,12.6993,90.2512,62.381,331.5004,5.3141,1.4468,0.2335,0.0,0.0,0.0
chair_032_08.obj,0,0,0.9476,0.0248,0.0277,0.8551,0.0776,0.0673,0.1449,0.0673,12.6993,90.2512,62.381,331.5004,5.3141,1.4468,0.2962,0.0,0.0,0.0
chair_032_09.obj,0,0,0.9287,0.068,0.0033,0.9237,0.0582,0.0181,0.0763,0.0181,50.8939,202.714,46.858,26.5735,7.6284,1.7633,0.4829,0.0,0.0,0.0
chair_032_10.obj,0,0,0.9991,0.0009,0.0,0.9765,0.0186,0.0048,0.0235,0.0048,203.3122,440.0,57.081,42.134,10.4429,1.3547,0.4039,0.0,0.0,0.0
chair_053_01.obj,1,1,0.0117,0.9878,0.0005,0.5063,0.459,0.0348,0.4937,0.0348,14.5643,530.1645,458.058,304.8744,1.739,1.5024,0.0004,0.0,0.0,0.0
chair_053_02.obj,1,1,0.3843,0.6121,0.0036,0.7314,0.2558,0.0128,0.2686,0.0128,56.9232,107.4203,360.3764,441.504,4.1101,3.3548,0.0142,0.0,0.0,0.0
chair_053_03.obj,1,1,0.3855,0.6109,0.0036,0.7314,0.2558,0.0128,0.2686,0.0128,56.9468,107.4203,360.3764,441.504,4.1101,3.3548,0.0151,0.0,0.0,0.0
chair_053_04.obj,1,1,0.0308,0.9689,0.0002,0.5078,0.4868,0.0054,0.4922,0.0054,94.2983,544.21,138.174,491.3706,3.9386,3.5562,0.0002,0.0,0.0,0.0
chair_053_05.obj,0,0,1.0,0.0,0.0,0.9865,0.0107,0.0028,0.0135,0.0028,351.9824,28.342,266.3674,82.8714,9.3983,2.924,0.0305,0.0,0.0,0.0
chair_053_06.obj,0,0,0.9999,0.0001,0.0,0.9747,0.0139,0.0114,0.0253,0.0114,85.6596,42.2023,235.7813,79.7108,5.5869,1.8888,0.0003,0.0,0.0,0.0
chair_053_07.obj,0,0,1.0,0.0,0.0,0.9865,0.0107,0.0028,0.0135,0.0028,352.6464,28.415,266.3673,82.8713,9.3742,2.9165,0.0265,0.0,0.0,0.0
chair_053_08.obj,0,0,0.9999,0.0001,0.0,0.9748,0.0138,0.0114,0.0252,0.0114,85.6442,42.2019,235.7814,79.7109,5.587,1.8888,0.0003,0.0,0.0,0.0
